n,trial,seed,k,m,oracle_time_sec,integrated_time_sec,speedup_vs_oracle,objective_error,relative_gap,converged,simplex_residual,exposure_violation,outer_iterations,inner_iterations,breakpoint_events
30,4,50260708,2,8,0.20900660008192062,1.5220557998400182,0.13731861874176302,2.9324814310172087e-07,2.9324814310172087e-07,True,2.220446049250313e-16,8.68948250021262e-08,19,1066,6570
30,5,50260709,2,8,0.162801300175488,0.31204370013438165,0.5217259637203943,1.0536924111015367e-09,1.0536924111015367e-09,True,0.0,0.0,5,226,1326
30,6,50260710,2,8,0.14972250000573695,0.4798925998620689,0.3119916832407299,1.513537073449811e-10,1.513537073449811e-10,True,2.220446049250313e-16,0.0,5,316,3215
30,7,50260711,2,8,0.15759139996953309,1.3256725000683218,0.11887657016450988,2.3355263084612332e-08,2.3355263084612332e-08,True,0.0,8.58762621014364e-08,20,916,5805
30,8,50260712,2,8,0.19678390002809465,0.8420935000758618,0.23368414553771874,8.426464573330072e-07,8.426464573330072e-07,True,2.220446049250313e-16,0.0,15,573,3556
30,9,50260713,2,8,0.1783100999891758,0.7803817000240088,0.22849087822496353,5.969435057373573e-09,5.969435057373573e-09,True,2.220446049250313e-16,7.949484853719824e-08,22,537,1526
45,0,65260704,2,8,0.31296980008482933,0.3881254999432713,0.8063623753929418,2.7859961559961732e-09,2.7859961559961732e-09,True,2.220446049250313e-16,0.0,5,251,2176
45,1,65260705,2,8,0.2625850001350045,1.4213872000109404,0.18473854283546623,7.399801928986705e-07,6.325694271008553e-07,True,3.3306690738754696e-16,0.0,23,1044,2128
45,2,65260706,2,8,0.2730523000936955,0.6697313999757171,0.40770419320879353,2.5212669729768322e-09,2.5212669729768322e-09,True,0.0,0.0,5,392,3879
45,3,65260707,2,8,0.2172193001024425,0.44697170006111264,0.4859799850253226,2.937179388595723e-10,2.937179388595723e-10,True,0.0,0.0,4,220,3059
45,4,65260708,2,8,0.24721279996447265,0.47442490002140403,0.5210788893106569,4.075724868712882e-09,3.807957974315725e-09,True,2.220446049250313e-16,0.0,5,270,1686
45,5,65260709,2,8,0.2529855000320822,0.6722416998818517,0.37633116195639915,1.7586498923805038e-10,1.7586498923805038e-10,True,1.1102230246251565e-16,0.0,4,231,3176
45,6,65260710,2,8,0.2773021999746561,0.5734322001226246,0.48358323776613327,1.1956151624303857e-09,1.1956151624303857e-09,True,2.220446049250313e-16,0.0,5,305,3197
45,7,65260711,2,8,0.28811169997788966,0.7024796998593956,0.41013526801636613,7.983735894612209e-10,7.983735894612209e-10,True,2.220446049250313e-16,0.0,4,234,4409
45,8,65260712,2,8,0.2793280999176204,0.4516057001892477,0.618522086414247,3.1874491934758e-10,3.1874491934758e-10,True,2.220446049250313e-16,0.0,5,229,1161
45,9,65260713,2,8,0.3707441999576986,0.5411523000802845,0.6851014028817684,6.572764554846344e-11,6.572764554846344e-11,True,1.1102230246251565e-16,0.0,5,277,2804
65,0,85260704,3,8,0.9225939000025392,1.3665809000376612,0.6751110746367914,2.817196476101458e-11,2.817196476101458e-11,True,2.220446049250313e-16,0.0,4,319,7450
65,1,85260705,3,8,0.4343280999455601,1.7252903000917286,0.2517420401207079,8.516157334881314e-09,7.933312119567764e-09,True,2.220446049250313e-16,8.841586240926347e-08,27,429,4200
65,2,85260706,3,8,0.4567473002243787,1.2067017001099885,0.37850887272533645,4.095077055232821e-10,4.095077055232821e-10,True,1.1102230246251565e-16,0.0,4,256,5649
65,3,85260707,3,8,0.43664920004084706,1.1451340999919921,0.381308355103477,2.9710275351035875e-09,2.9710275351035875e-09,True,0.0,0.0,5,272,3132
65,4,85260708,3,8,0.2705983000341803,0.5810821999330074,0.46567989875679794,3.6396879954381234e-10,3.6396879954381234e-10,True,2.220446049250313e-16,0.0,4,247,7157
65,5,85260709,3,8,0.27905880007892847,0.4587471999693662,0.6083062743436106,2.7129018476124145e-09,2.7129018476124145e-09,True,0.0,0.0,4,231,5335
65,6,85260710,3,8,0.2651932998560369,0.5311092000920326,0.4993197252280383,8.887628827336513e-10,8.887628827336513e-10,True,0.0,0.0,4,278,5632
65,7,85260711,3,8,0.23522489983588457,0.37223089998587966,0.6319327595984312,1.3483476002384975e-09,1.3483476002384975e-09,True,0.0,0.0,4,244,4618
